"","title.link","title.name","exclusive","cumulative_rank","Type","rating","AVG_Nmpaa_comp","AVG_Ngenre_comp","Holiday_distance","sequel"
"90","flixpatrol.com/title/pieces-of-her/","Pieces of Her",1,5,0,6.3,20.4,68.2,9,0
"91","flixpatrol.com/title/monster-in-law/","Monster-in-Law",0,1,1,5.5,32,35,8,0
"92","flixpatrol.com/title/the-bubble-2022/","The Bubble",1,2,1,4.7,8.5,26,9,0
"93","flixpatrol.com/title/mollys-game/","Molly's Game",0,1,1,7.4,7,61,8,0
"94","flixpatrol.com/title/blow/","Blow",0,1,1,7.5,7,57,8,0
"95","flixpatrol.com/title/is-it-cake/","Is It Cake?",1,4,0,5.8,26.75,4.75,11,0
"96","flixpatrol.com/title/heartland/","Heartland",0,2,0,8.5,58,50,9,1
"97","flixpatrol.com/title/get-organized-with-the-home-edit/","Get Organized with The Home Edit",1,2,0,5.5,24.5,5,9,1
"98","flixpatrol.com/title/the-call/","The Call",1,1,1,8.6,63,40,7,0
"99","flixpatrol.com/title/without-a-paddle/","Without a Paddle",0,2,1,5.8,32,62,8,0
"100","flixpatrol.com/title/catch-and-release/","Catch and Release",0,2,1,5.9,32,73.5,8,0
"101","flixpatrol.com/title/four-brothers/","Four Brothers",0,2,1,6.8,7,92.5,8,0
"102","flixpatrol.com/title/hop/","Hop",0,1,1,5.4,44,124,7,0
"103","flixpatrol.com/title/our-great-national-parks/","Our Great National Parks",1,1,0,8.1,31,2,7,0
"104","flixpatrol.com/title/inventing-anna/","Inventing Anna",1,10,0,6.8,20.9,34,6,0
"105","flixpatrol.com/title/choose-or-die/","Choose or Die",1,2,1,4.8,20.5,60,7,0
"106","flixpatrol.com/title/the-blind-side/","The Blind Side",0,4,1,7.6,59.5,48,9,0
"107","flixpatrol.com/title/shrek-2/","Shrek 2",0,6,1,7.3,31.1666666666667,112.5,9,1
"108","flixpatrol.com/title/ouija-origin-of-evil/","Ouija: Origin of Evil",0,1,1,6.2,32,72,6,1
"109","flixpatrol.com/title/better-call-saul/","Better Call Saul",0,3,0,8.9,52.3333333333333,51.6666666666667,8,1
"110","flixpatrol.com/title/queen-of-the-south/","Queen of the South",0,3,0,8,20.3333333333333,88.6666666666667,8,1
"111","flixpatrol.com/title/365-days-this-day/","365 Days : This Day",1,1,1,2.6,23,47,5,0
"112","flixpatrol.com/title/the-mystery-of-marilyn-monroe-the-unheard-tapes/","The Mystery of Marilyn Monroe: The Unheard Tapes",1,1,1,6.2,33,9,5,0
"113","flixpatrol.com/title/how-it-ends-2021/","How It Ends",0,2,1,5.2,11.5,74,6,0
"114","flixpatrol.com/title/silverton-siege/","Silverton Siege",0,1,1,6.3,23,100,5,0
"115","flixpatrol.com/title/shrek-forever-after/","Shrek Forever After",0,5,1,6.3,26.2,116,9,0
"116","flixpatrol.com/title/white-hot-the-rise-fall-of-abercrombie-fitch/","White Hot: The Rise & Fall of Abercrombie & Fitch",1,2,1,5.7,32.5,2,6,0
"117","flixpatrol.com/title/shrek/","Shrek",0,7,1,7.9,25.8571428571429,113.857142857143,9,0
"118","flixpatrol.com/title/cleaner-2020/","Cleaner",0,3,1,6.1,10,17.3333333333333,7,0
"119","flixpatrol.com/title/the-adam-project/","The Adam Project",1,8,1,6.7,34.625,95.25,10,0
"120","flixpatrol.com/title/anatomy-of-a-scandal/","Anatomy of a Scandal",1,3,0,7,21.3333333333333,55.3333333333333,7,0
"121","flixpatrol.com/title/the-ultimatum-marry-or-move-on/","The Ultimatum: Marry or Move On",1,4,0,5.5,21,5,8,0
"122","flixpatrol.com/title/the-gentlemen/","The Gentlemen",0,1,1,7.8,7,75,4,0
"123","flixpatrol.com/title/rambo-last-blood/","Rambo: Last Blood",0,1,1,6.1,7,57,4,1
"124","flixpatrol.com/title/kung-fu-panda-3/","Kung Fu Panda 3",0,2,1,7.1,23,142.5,5,1
"125","flixpatrol.com/title/war-of-the-worlds/","War of the Worlds",0,1,1,6.5,36,72,4,0
"126","flixpatrol.com/title/honeymoon-with-my-mother/","Honeymoon with My Mother",1,1,1,5.8,23,33,4,0
"127","flixpatrol.com/title/rambo/","Rambo",0,1,1,7,30,72,4,0
"128","flixpatrol.com/title/meltdown-three-mile-island/","Meltdown: Three Mile Island",1,1,0,6.8,36,7,4,0
"129","flixpatrol.com/title/bullsht-the-game-show/","Bullsh*t the Game Show",1,2,0,6.2,34.5,5.5,5,0
"130","flixpatrol.com/title/the-marked-heart/","The Marked Heart",1,3,0,6.5,21.6666666666667,55,6,0
"131","flixpatrol.com/title/married-at-first-sight-2017/","Married At First Sight",0,4,0,6.2,33.25,12.75,7,1
"132","flixpatrol.com/title/us-marshals/","U.S. Marshals",0,2,1,6.5,38.5,56.5,4,0
"133","flixpatrol.com/title/the-takedown/","The Takedown",1,1,1,5.7,19,112,3,0
"134","flixpatrol.com/title/forgetting-sarah-marshall/","Forgetting Sarah Marshall",0,1,1,7.1,46,84,3,0
"135","flixpatrol.com/title/forrest-gump/","Forrest Gump",0,2,1,8.8,62,46,4,0
"136","flixpatrol.com/title/welcome-to-eden/","Welcome to Eden",1,1,0,5.5,19,94,3,0
"137","flixpatrol.com/title/grace-and-frankie/","Grace and Frankie",1,3,0,8.2,21.6666666666667,34.6666666666667,5,1
"138","flixpatrol.com/title/selling-sunset/","Selling Sunset",1,4,0,6.5,21,5,6,1
"139","flixpatrol.com/title/bridgerton/","Bridgerton",1,8,0,7.4,21.125,50.375,10,0
"140","flixpatrol.com/title/borrego/","Borrego",0,1,1,5.3,10,19,2,0
